video,video_index,material,split,frame_idx,timestamp_sec,tool_tip_x,tool_tip_y,crop_tip_x,crop_tip_y,roi_x1,roi_y1,roi_x2,roi_y2,crop_w,crop_h,laplacian_var,motion_score,tracking_status,category,crop_path
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,0,0.0,494,214,150,150,344,64,644,364,300,300,133.09,0.0,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000000.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,15,0.25,497,212,150,150,347,62,647,362,300,300,126.16,5.32,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000015.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,30,0.5,502,215,150,150,352,65,652,365,300,300,137.48,8.61,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000030.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,45,0.75,500,212,150,150,350,62,650,362,300,300,117.64,14.57,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000045.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,60,1.0,504,213,150,150,354,63,654,363,300,300,116.93,35.68,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000060.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,75,1.25,506,212,150,150,356,62,656,362,300,300,129.81,27.94,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000075.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,90,1.5,505,205,150,150,355,55,655,355,300,300,129.35,11.65,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000090.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,105,1.75,511,210,150,150,361,60,661,360,300,300,132.31,26.26,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000105.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,120,2.0,508,210,150,150,358,60,658,360,300,300,143.04,21.59,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000120.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,135,2.25,508,210,150,150,358,60,658,360,300,300,163.26,19.8,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000135.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,150,2.5,513,205,150,150,363,55,663,355,300,300,149.74,7.44,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000150.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,165,2.75,515,210,150,150,365,60,665,360,300,300,154.61,11.15,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000165.jpg
WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,2,Aluminium,train,180,3.0,514,208,150,150,364,58,664,358,300,300,157.18,26.46,TRACKED,RETAINED,data/phase2_roi_crops/retained/WhatsApp_Video_2026-08-11_at_6.55.10_AM_(1)/crop_000180.jpg
