video,video_index,material,frame_idx,timestamp_sec,tool_tip_x,tool_tip_y,bbox_x,bbox_y,bbox_w,bbox_h,roi_x1,roi_y1,roi_x2,roi_y2,delta_x,delta_y,tracking_status
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,0,0.0,500,214,490,207,20,13,350,64,650,364,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,1,0.017,498,215,488,208,20,13,348,65,648,365,-2,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,2,0.033,497,215,487,208,20,13,347,65,647,365,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,3,0.05,496,215,486,208,20,13,346,65,646,365,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,4,0.067,496,215,485,208,20,13,346,65,646,365,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,5,0.083,495,215,484,208,20,13,345,65,645,365,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,6,0.1,494,216,483,209,20,13,344,66,644,366,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,7,0.117,493,216,482,209,20,13,343,66,643,366,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,8,0.133,491,215,480,208,20,13,341,65,641,365,-2,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,9,0.15,489,215,478,208,20,13,339,65,639,365,-2,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,10,0.167,488,217,477,210,20,13,338,67,638,367,-1,2,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,11,0.183,487,216,475,209,20,13,337,66,637,366,-1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,12,0.2,487,216,475,209,20,13,337,66,637,366,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,13,0.217,486,217,475,210,20,13,336,67,636,367,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,14,0.233,485,217,474,210,20,13,335,67,635,367,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,15,0.25,484,216,473,209,20,13,334,66,634,366,-1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,16,0.267,483,217,472,210,20,13,333,67,633,367,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,17,0.283,483,217,471,210,20,13,333,67,633,367,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,18,0.3,482,217,470,210,20,13,332,67,632,367,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,19,0.317,481,218,470,211,20,13,331,68,631,368,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,20,0.333,480,217,468,210,20,13,330,67,630,367,-1,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,21,0.35,479,217,468,210,20,13,329,67,629,367,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,22,0.367,479,217,468,210,20,13,329,67,629,367,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,23,0.383,478,218,467,211,20,13,328,68,628,368,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,24,0.4,477,218,466,211,20,13,327,68,627,368,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,25,0.417,476,218,465,211,20,13,326,68,626,368,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,26,0.433,476,218,465,211,20,13,326,68,626,368,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,27,0.45,476,219,465,212,20,13,326,69,626,369,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,28,0.467,475,219,464,212,20,13,325,69,625,369,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,29,0.483,474,219,463,212,20,13,324,69,624,369,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,30,0.5,473,219,462,212,20,13,323,69,623,369,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,31,0.517,472,220,461,213,20,13,322,70,622,370,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,32,0.533,473,220,462,213,20,13,323,70,623,370,1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,33,0.55,472,221,461,214,20,13,322,71,622,371,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,34,0.567,471,221,460,214,20,13,321,71,621,371,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,35,0.583,470,221,459,214,20,13,320,71,620,371,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,36,0.6,469,221,459,214,20,13,319,71,619,371,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,37,0.617,469,222,459,215,20,13,319,72,619,372,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,38,0.633,469,222,459,215,20,13,319,72,619,372,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,39,0.65,468,222,458,215,20,13,318,72,618,372,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,40,0.667,467,223,457,216,20,13,317,73,617,373,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,41,0.683,467,223,457,216,20,13,317,73,617,373,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,42,0.7,466,224,456,217,20,13,316,74,616,374,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,43,0.717,465,224,455,217,20,13,315,74,615,374,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,44,0.733,465,224,455,217,20,13,315,74,615,374,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,45,0.75,464,224,454,217,20,13,314,74,614,374,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,46,0.767,463,224,453,218,20,13,313,74,613,374,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,47,0.783,463,225,453,218,20,13,313,75,613,375,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,48,0.8,462,225,452,218,20,13,312,75,612,375,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,49,0.817,461,225,452,218,20,13,311,75,611,375,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,50,0.833,459,224,453,216,15,14,309,74,609,374,-2,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,51,0.85,459,224,453,216,15,14,309,74,609,374,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,52,0.867,458,224,452,216,15,14,308,74,608,374,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,53,0.883,458,225,452,217,15,14,308,75,608,375,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,54,0.9,457,225,451,217,15,14,307,75,607,375,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,55,0.917,457,225,451,218,15,14,307,75,607,375,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,56,0.933,457,225,450,218,15,14,307,75,607,375,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,57,0.95,456,225,450,218,15,14,306,75,606,375,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,58,0.967,456,225,450,218,15,14,306,75,606,375,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,59,0.983,456,225,450,218,15,14,306,75,606,375,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,60,1.0,456,225,449,218,15,14,306,75,606,375,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,61,1.017,455,225,449,218,15,14,305,75,605,375,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,62,1.033,455,225,448,218,15,14,305,75,605,375,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,63,1.05,455,226,448,219,15,14,305,76,605,376,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,64,1.067,455,226,448,219,15,14,305,76,605,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,65,1.083,455,226,448,219,15,14,305,76,605,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,66,1.1,454,227,447,220,15,14,304,77,604,377,-1,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,67,1.117,454,226,447,219,15,14,304,76,604,376,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,68,1.133,454,226,447,219,15,14,304,76,604,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,69,1.15,453,226,446,219,15,14,303,76,603,376,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,70,1.167,453,226,446,219,15,14,303,76,603,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,71,1.183,453,227,446,220,15,14,303,77,603,377,0,1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,72,1.2,452,227,445,220,15,14,302,77,602,377,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,73,1.217,452,227,445,220,15,14,302,77,602,377,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,74,1.233,452,227,445,220,15,14,302,77,602,377,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,75,1.25,452,226,445,220,15,14,302,76,602,376,0,-1,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,76,1.267,452,226,445,220,15,14,302,76,602,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,77,1.283,451,226,444,220,15,14,301,76,601,376,-1,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,78,1.3,451,226,444,220,15,14,301,76,601,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,79,1.317,451,226,445,219,15,14,301,76,601,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,80,1.333,451,226,444,219,15,14,301,76,601,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,81,1.35,451,226,444,219,15,14,301,76,601,376,0,0,TRACKED
WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,1,Aluminium,82,1.367,451,225,444,218,15,14,301,75,601,375,0,-1,TRACKED
