Index,Filename,Size_MB,Status,Width,Height,FPS,Total_Frames,Duration_Sec,Codec
1,WhatsApp Video 2026-08-11 at 6.55.09 AM.mp4,9.74,OK,848,478,59.99,2519,41.99,h264
2,WhatsApp Video 2026-08-11 at 6.55.10 AM (1).mp4,5.44,OK,848,478,60.0,1678,27.97,h264
3,WhatsApp Video 2026-08-11 at 6.55.10 AM (2).mp4,15.33,OK,848,478,59.72,4223,70.71,h264
4,WhatsApp Video 2026-08-11 at 6.55.10 AM.mp4,8.87,OK,848,478,59.65,2299,38.54,h264
5,WhatsApp Video 2026-08-11 at 6.55.11 AM (1).mp4,6.55,OK,848,478,60.02,1674,27.89,h264
6,WhatsApp Video 2026-08-11 at 6.55.11 AM.mp4,8.65,OK,848,478,60.0,2217,36.95,h264
7,WhatsApp Video 2026-08-11 at 6.55.12 AM (1).mp4,11.93,OK,848,478,59.76,3479,58.22,h264
8,WhatsApp Video 2026-08-11 at 6.55.13 AM (1).mp4,6.72,OK,848,478,60.02,2074,34.55,h264
9,WhatsApp Video 2026-08-11 at 6.55.13 AM (2).mp4,3.19,OK,848,478,59.81,896,14.98,h264
10,WhatsApp Video 2026-08-11 at 6.55.13 AM.mp4,12.97,OK,848,478,59.73,3786,63.38,h264
11,WhatsApp Video 2026-08-11 at 6.55.14 AM (1).mp4,2.6,OK,848,478,59.99,794,13.23,h264
12,WhatsApp Video 2026-08-11 at 6.55.14 AM (2).mp4,6.27,OK,848,478,59.96,1920,32.02,h264
13,WhatsApp Video 2026-08-11 at 6.55.14 AM.mp4,9.29,OK,848,478,59.78,2846,47.61,h264
14,WhatsApp Video 2026-08-11 at 6.55.15 AM (1).mp4,8.4,OK,848,478,59.92,2575,42.98,h264
15,WhatsApp Video 2026-08-11 at 6.55.15 AM.mp4,11.9,OK,848,478,59.81,3671,61.38,h264
16,WhatsApp Video 2026-08-11 at 6.55.16 AM (1).mp4,13.18,OK,848,478,59.81,3989,66.7,h264
17,WhatsApp Video 2026-08-11 at 6.55.16 AM.mp4,4.99,OK,848,478,60.02,1539,25.64,h264
18,WhatsApp Video 2026-08-11 at 6.55.17 AM (1).mp4,11.79,OK,848,478,60.01,3649,60.8,h264
19,WhatsApp Video 2026-08-11 at 6.55.17 AM (2).mp4,7.41,OK,848,478,60.02,2297,38.27,h264
20,WhatsApp Video 2026-08-11 at 6.55.17 AM.mp4,7.26,OK,848,478,60.02,2246,37.42,h264
21,WhatsApp Video 2026-08-11 at 6.55.18 AM (1).mp4,7.59,OK,848,478,59.96,1937,32.3,h264
22,WhatsApp Video 2026-08-11 at 6.55.18 AM.mp4,5.32,OK,848,478,59.96,1637,27.3,h264
23,WhatsApp Video 2026-08-11 at 6.55.19 AM.mp4,0.41,OK,848,478,59.43,109,1.83,h264
24,WhatsApp Video 2026-08-11 at 6.55.20 AM (1).mp4,18.98,OK,848,478,59.93,4881,81.44,h264
25,WhatsApp Video 2026-08-11 at 6.55.20 AM.mp4,6.43,OK,848,478,59.79,1978,33.08,h264
26,WhatsApp Video 2026-08-11 at 6.55.21 AM (1).mp4,3.63,OK,848,478,59.85,1023,17.09,h264
27,WhatsApp Video 2026-08-11 at 6.55.21 AM.mp4,1.46,OK,848,478,60.0,365,6.08,h264
